,Code région,Nom de la région,Code département,Code arrondissement départemental,Code canton,Code_commune,Nom de la commune,Population municipale,Population comptée à part,Population totale,Année recensement,Année utilisation,Code INSEE (commune ou arrondissement),Superficie de la commune,Statut,Code INSEE de la commune,Nom de la commune IGN,Nom du département IGN,Nom de la région.1,Code EPCI,Code EPCI.1,EPCI,Année
72,4,La Réunion,974,3,33,421,Salazie,7065,100,7165,1970-01-01 00:00:00.000002006,2009,97421,103.82,Commune,97421,Salazie,LA REUNION,LA REUNION,,,,1970
73,4,La Réunion,974,2,5,405,Petite-Île,11672,132,11804,1970-01-01 00:00:00.000002007,2010,97405,33.83,Commune,97405,Petite-Île,LA REUNION,LA REUNION,,,,1970
74,4,La Réunion,974,2,26,417,Saint-Philippe,5129,65,5194,1970-01-01 00:00:00.000002007,2010,97417,154.47,Commune,97417,Saint-Philippe,LA REUNION,LA REUNION,,,,1970
75,4,La Réunion,974,2,4,404,L' Étang-Salé,13367,188,13555,1970-01-01 00:00:00.000002008,2011,97404,38.43,Commune,97404,L'Étang-Salé,LA REUNION,LA REUNION,,,,1970
76,4,La Réunion,974,1,30,418,Sainte-Marie,30815,389,31204,1970-01-01 00:00:00.000002008,2011,97418,88.65,Commune,97418,,,,,,,1970
77,4,La Réunion,974,2,99,422,Le Tampon,72026,911,72937,1970-01-01 00:00:00.000002008,2011,97422,181.02,Commune,97422,Le Tampon,LA REUNION,LA REUNION,,,,1970
78,4,La Réunion,974,3,90,410,Saint-Benoît,34682,225,34907,1970-01-01 00:00:00.000002009,2012,97410,229.79,Commune,97410,Saint-Benoît,LA REUNION,LA REUNION,,,,1970
79,4,La Réunion,974,3,91,409,Saint-André,55628,460,56088,1970-01-01 00:00:00.000002016,2019,97409,54.28,Commune,97409,Saint-André,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
80,4,La Réunion,974,2,22,424,Cilaos,5440,104,5544,1970-01-01 00:00:00.000002012,2015,97424,84.4,Commune,97424,Cilaos,LA REUNION,LA REUNION,249740077.0,249740077.0,CA CIVIS (Communauté Intercommunale des Villes Solidaires),1970
81,4,La Réunion,974,2,5,405,Petite-Île,11573,99,11672,1970-01-01 00:00:00.000002011,2014,97405,33.83,Commune,97405,Petite-Île,LA REUNION,LA REUNION,,,,1970
82,4,La Réunion,974,2,1,401,Les Avirons,10093,162,10255,1970-01-01 00:00:00.000002007,2010,97401,26.23,Commune,97401,Les Avirons,LA REUNION,LA REUNION,,,,1970
83,4,La Réunion,974,2,98,416,Saint-Pierre,74480,901,75381,1970-01-01 00:00:00.000002006,2009,97416,96.32,Commune,97416,Saint-Pierre,LA REUNION,LA REUNION,,,,1970
84,4,La Réunion,974,1,23,418,Sainte-Marie,32940,446,33386,1970-01-01 00:00:00.000002015,2018,97418,88.65,Commune,97418,,,,249740119.0,249740119.0,CA Intercommunale du Nord de la Réunion (Cinor),1970
85,4,La Réunion,974,2,1,401,Les Avirons,10455,153,10608,1970-01-01 00:00:00.000002009,2012,97401,26.23,Commune,97401,Les Avirons,LA REUNION,LA REUNION,,,,1970
86,4,La Réunion,974,1,93,411,Saint-Denis,145209,1499,146708,1970-01-01 00:00:00.000002009,2012,97411,141.5,Commune,97411,Saint-Denis,LA REUNION,LA REUNION,,,,1970
87,4,La Réunion,974,2,3,403,Entre-Deux,6133,91,6224,1970-01-01 00:00:00.000002010,2013,97403,51.37,Commune,97403,Entre-Deux,LA REUNION,LA REUNION,,,,1970
88,4,La Réunion,974,2,4,404,L' Étang-Salé,13647,193,13840,1970-01-01 00:00:00.000002012,2015,97404,38.43,Commune,97404,L'Étang-Salé,LA REUNION,LA REUNION,249740077.0,249740077.0,CA CIVIS (Communauté Intercommunale des Villes Solidaires),1970
89,4,La Réunion,974,4,91,407,Le Port,38418,250,38668,1970-01-01 00:00:00.000002010,2013,97407,16.16,Commune,97407,Le Port,LA REUNION,LA REUNION,,,,1970
90,4,La Réunion,974,3,2,402,Bras-Panon,11838,126,11964,1970-01-01 00:00:00.000002011,2014,97402,87.26,Commune,97402,Bras-Panon,LA REUNION,LA REUNION,,,,1970
91,4,La Réunion,974,4,97,415,Saint-Paul,103916,1523,105439,1970-01-01 00:00:00.000002011,2014,97415,240.51,Commune,97415,Saint-Paul,LA REUNION,LA REUNION,,,,1970
92,4,La Réunion,974,4,91,407,Le Port,38313,283,38596,1970-01-01 00:00:00.000002007,2010,97407,16.16,Commune,97407,Le Port,LA REUNION,LA REUNION,,,,1970
93,4,La Réunion,974,2,16,424,Cilaos,5350,88,5438,1970-01-01 00:00:00.000002015,2018,97424,84.4,Commune,97424,Cilaos,LA REUNION,LA REUNION,249740077.0,249740077.0,CA Civis (Communauté Intercommunale des Villes Solidaires),1970
94,4,La Réunion,974,3,7,406,La Plaine-des-Palmistes,6157,88,6245,1970-01-01 00:00:00.000002015,2018,97406,83.05,Commune,97406,La Plaine-des-Palmistes,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
95,4,La Réunion,974,3,92,410,Saint-Benoît,37940,347,38287,1970-01-01 00:00:00.000002015,2018,97410,229.79,Commune,97410,Saint-Benoît,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
96,4,La Réunion,974,1,93,411,Saint-Denis,147920,1417,149337,1970-01-01 00:00:00.000002016,2019,97411,141.5,Commune,97411,Saint-Denis,LA REUNION,LA REUNION,249740119.0,249740119.0,CA Intercommunale du Nord de la Réunion (Cinor),1970
97,4,La Réunion,974,4,95,413,Saint-Leu,33697,463,34160,1970-01-01 00:00:00.000002016,2019,97413,118.08,Commune,97413,Saint-Leu,LA REUNION,LA REUNION,249740101.0,249740101.0,CA Territoire de la Côte Ouest (Tco),1970
98,4,La Réunion,974,2,5,405,Petite-Île,11564,99,11663,1970-01-01 00:00:00.000002012,2015,97405,33.83,Commune,97405,Petite-Île,LA REUNION,LA REUNION,249740077.0,249740077.0,CA CIVIS (Communauté Intercommunale des Villes Solidaires),1970
99,4,La Réunion,974,2,99,422,Le Tampon,72658,853,73511,1970-01-01 00:00:00.000002009,2012,97422,181.02,Commune,97422,Le Tampon,LA REUNION,LA REUNION,,,,1970
100,4,La Réunion,974,2,96,414,Saint-Louis,51460,460,51920,1970-01-01 00:00:00.000002009,2012,97414,98.85,Commune,97414,Saint-Louis,LA REUNION,LA REUNION,,,,1970
