code postal;date;nombre d'inscrits;Code_commune_INSEE;Nom_commune
97480;2022-07-31;8940;97412;ST JOSEPH
97438;2020-07-31;6370;97418;STE MARIE
97441;2018-03-31;4270;97420;STE SUZANNE
97480;2022-11-30;8920;97412;ST JOSEPH
97438;2020-08-31;6440;97418;STE MARIE
97441;2018-04-30;4270;97420;STE SUZANNE
97436;2016-07-31;8230;97413;ST LEU
97438;2020-09-30;6460;97418;STE MARIE
97441;2019-06-30;4280;97420;STE SUZANNE
97436;2016-10-31;8370;97413;ST LEU
97438;2020-10-31;6380;97418;STE MARIE
97441;2019-10-31;4320;97420;STE SUZANNE
97436;2016-11-30;8320;97413;ST LEU
97438;2020-12-31;6300;97418;STE MARIE
97441;2020-01-31;4290;97420;STE SUZANNE
97436;2017-03-31;8250;97413;ST LEU
97438;2021-03-31;6450;97418;STE MARIE
97441;2020-02-29;4260;97420;STE SUZANNE
97436;2017-07-31;8270;97413;ST LEU
97438;2021-05-31;6400;97418;STE MARIE
97441;2020-04-30;4280;97420;STE SUZANNE
97436;2017-10-31;8500;97413;ST LEU
97438;2021-08-31;6510;97418;STE MARIE
97441;2020-05-31;4300;97420;STE SUZANNE
97436;2018-01-31;8490;97413;ST LEU
97438;2021-09-30;6530;97418;STE MARIE
97441;2020-07-31;4320;97420;STE SUZANNE
97436;2018-03-31;8440;97413;ST LEU
97438;2022-02-28;6340;97418;STE MARIE
97441;2021-03-31;4280;97420;STE SUZANNE
97436;2019-02-28;8400;97413;ST LEU
97438;2022-07-31;6330;97418;STE MARIE
97441;2022-04-30;4230;97420;STE SUZANNE
97436;2019-04-30;8400;97413;ST LEU
97438;2022-10-31;6370;97418;STE MARIE
97441;2022-06-30;4240;97420;STE SUZANNE
97436;2019-07-31;8370;97413;ST LEU
97438;2022-12-31;6250;97418;STE MARIE
97441;2022-10-31;4370;97420;STE SUZANNE
97436;2019-11-30;8240;97413;ST LEU
97439;2016-10-31;1660;97419;STE ROSE
97441;2022-11-30;4350;97420;STE SUZANNE
97436;2019-12-31;8160;97413;ST LEU
97439;2016-12-31;1620;97419;STE ROSE
97441;2022-12-31;4270;97420;STE SUZANNE
97436;2020-05-31;8180;97413;ST LEU
97439;2017-01-31;1620;97419;STE ROSE
97480;2016-10-31;9600;97412;ST JOSEPH
97436;2020-09-30;8330;97413;ST LEU
97439;2017-04-30;1560;97419;STE ROSE
97480;2017-07-31;9460;97412;ST JOSEPH
97436;2020-10-31;8340;97413;ST LEU
97439;2017-08-31;1560;97419;STE ROSE
97480;2017-08-31;9600;97412;ST JOSEPH
97436;2020-12-31;8230;97413;ST LEU
97439;2018-03-31;1510;97419;STE ROSE
97480;2017-10-31;9650;97412;ST JOSEPH
97436;2021-04-30;8320;97413;ST LEU
97439;2018-06-30;1550;97419;STE ROSE
97480;2017-12-31;9530;97412;ST JOSEPH
97436;2021-05-31;8320;97413;ST LEU
97439;2018-07-31;1550;97419;STE ROSE
97480;2018-01-31;9640;97412;ST JOSEPH
97436;2021-06-30;8240;97413;ST LEU
97439;2018-11-30;1470;97419;STE ROSE
97480;2018-09-30;9650;97412;ST JOSEPH
97436;2021-08-31;8320;97413;ST LEU
97439;2018-12-31;1480;97419;STE ROSE
97480;2018-12-31;9610;97412;ST JOSEPH
97436;2021-09-30;8350;97413;ST LEU
97439;2019-01-31;1520;97419;STE ROSE
97480;2019-07-31;9550;97412;ST JOSEPH
97436;2021-10-31;8330;97413;ST LEU
97439;2019-02-28;1510;97419;STE ROSE
97480;2019-08-31;9560;97412;ST JOSEPH
97436;2022-04-30;8170;97413;ST LEU
97439;2019-06-30;1460;97419;STE ROSE
97480;2020-04-30;9300;97412;ST JOSEPH
97436;2022-05-31;8090;97413;ST LEU
97439;2019-09-30;1490;97419;STE ROSE
97480;2020-05-31;9300;97412;ST JOSEPH
97436;2022-07-31;8140;97413;ST LEU
97439;2019-11-30;1430;97419;STE ROSE
97480;2020-11-30;9290;97412;ST JOSEPH
97436;2022-09-30;8330;97413;ST LEU
97439;2020-06-30;1440;97419;STE ROSE
97480;2021-02-28;9220;97412;ST JOSEPH
97436;2022-10-31;8290;97413;ST LEU
97439;2020-08-31;1440;97419;STE ROSE
97480;2021-04-30;9100;97412;ST JOSEPH
97436;2022-12-31;8260;97413;ST LEU
97439;2020-10-31;1420;97419;STE ROSE
97480;2021-06-30;9120;97412;ST JOSEPH
97434;2016-07-31;12670;97415;ST PAUL
97439;2020-12-31;1440;97419;STE ROSE
97480;2021-09-30;9130;97412;ST JOSEPH
97434;2016-10-31;12900;97415;ST PAUL
97439;2021-02-28;1470;97419;STE ROSE
97480;2021-10-31;9060;97412;ST JOSEPH
97434;2017-03-31;12910;97415;ST PAUL
97439;2021-03-31;1470;97419;STE ROSE
97480;2022-01-31;8970;97412;ST JOSEPH
97434;2017-05-31;12770;97415;ST PAUL
97439;2021-05-31;1470;97419;STE ROSE
97480;2022-08-31;9000;97412;ST JOSEPH
97434;2017-06-30;12700;97415;ST PAUL
97439;2021-06-30;1480;97419;STE ROSE
97480;2022-09-30;8950;97412;ST JOSEPH
97434;2017-08-31;12940;97415;ST PAUL
97439;2021-09-30;1500;97419;STE ROSE
97480;2022-10-31;8880;97412;ST JOSEPH
97434;2017-10-31;12820;97415;ST PAUL
97439;2021-10-31;1490;97419;STE ROSE
97436;2016-09-30;8410;97413;ST LEU
97434;2018-05-31;12780;97415;ST PAUL
97439;2021-12-31;1440;97419;STE ROSE
97436;2017-01-31;8490;97413;ST LEU
97434;2018-07-31;12810;97415;ST PAUL
97439;2022-06-30;1460;97419;STE ROSE
97436;2017-04-30;8270;97413;ST LEU
97434;2019-05-31;12780;97415;ST PAUL
97439;2022-09-30;1490;97419;STE ROSE
97436;2017-06-30;8230;97413;ST LEU
97434;2019-07-31;12850;97415;ST PAUL
97439;2022-12-31;1480;97419;STE ROSE
97436;2017-08-31;8470;97413;ST LEU
97434;2019-08-31;12900;97415;ST PAUL
97441;2016-07-31;4370;97420;STE SUZANNE
97436;2017-09-30;8400;97413;ST LEU
97434;2019-12-31;12440;97415;ST PAUL
97441;2016-08-31;4380;97420;STE SUZANNE
97436;2018-02-28;8470;97413;ST LEU
97434;2020-03-31;12570;97415;ST PAUL
97441;2017-04-30;4310;97420;STE SUZANNE
97436;2018-04-30;8380;97413;ST LEU
97434;2020-06-30;12640;97415;ST PAUL
97441;2017-09-30;4290;97420;STE SUZANNE
97436;2018-09-30;8360;97413;ST LEU
97434;2020-07-31;12680;97415;ST PAUL
97441;2018-05-31;4270;97420;STE SUZANNE
97436;2018-10-31;8450;97413;ST LEU
97434;2020-08-31;12770;97415;ST PAUL
97441;2018-06-30;4270;97420;STE SUZANNE
97436;2018-12-31;8330;97413;ST LEU
97434;2021-01-31;12840;97415;ST PAUL
97441;2018-10-31;4350;97420;STE SUZANNE
97436;2019-03-31;8380;97413;ST LEU
97434;2021-02-28;12790;97415;ST PAUL
97441;2018-11-30;4290;97420;STE SUZANNE
97436;2019-08-31;8350;97413;ST LEU
97434;2021-03-31;12860;97415;ST PAUL
97441;2018-12-31;4260;97420;STE SUZANNE
97436;2019-09-30;8420;97413;ST LEU
97434;2021-05-31;12780;97415;ST PAUL
97441;2019-01-31;4360;97420;STE SUZANNE
97436;2020-01-31;8260;97413;ST LEU
97434;2021-10-31;12700;97415;ST PAUL
97441;2019-02-28;4320;97420;STE SUZANNE
97436;2020-03-31;8210;97413;ST LEU
97434;2022-01-31;12530;97415;ST PAUL
97441;2019-03-31;4290;97420;STE SUZANNE
97436;2020-06-30;8160;97413;ST LEU
97434;2022-05-31;12470;97415;ST PAUL
97441;2019-04-30;4310;97420;STE SUZANNE
97436;2020-07-31;8250;97413;ST LEU
97434;2022-10-31;12470;97415;ST PAUL
97441;2019-07-31;4270;97420;STE SUZANNE
97436;2021-01-31;8340;97413;ST LEU
97460;2016-08-31;21860;97415;ST PAUL
97441;2019-08-31;4250;97420;STE SUZANNE
97436;2021-07-31;8310;97413;ST LEU
97460;2016-10-31;21970;97415;ST PAUL
97441;2019-09-30;4280;97420;STE SUZANNE
97436;2021-11-30;8380;97413;ST LEU
97460;2017-02-28;22080;97415;ST PAUL
97441;2019-11-30;4250;97420;STE SUZANNE
97436;2021-12-31;8340;97413;ST LEU
97460;2017-03-31;21940;97415;ST PAUL
97441;2020-03-31;4260;97420;STE SUZANNE
97436;2022-01-31;8290;97413;ST LEU
97460;2017-06-30;21620;97415;ST PAUL
97441;2020-06-30;4310;97420;STE SUZANNE
97436;2022-02-28;8250;97413;ST LEU
97460;2017-07-31;21670;97415;ST PAUL
97441;2020-08-31;4360;97420;STE SUZANNE
97436;2022-11-30;8330;97413;ST LEU
97460;2018-02-28;21840;97415;ST PAUL
97441;2020-09-30;4370;97420;STE SUZANNE
97434;2017-01-31;13060;97415;ST PAUL
97460;2018-05-31;21620;97415;ST PAUL
97441;2020-10-31;4310;97420;STE SUZANNE
97434;2017-04-30;12780;97415;ST PAUL
97460;2018-08-31;21780;97415;ST PAUL
97441;2020-11-30;4290;97420;STE SUZANNE
97434;2017-07-31;12730;97415;ST PAUL
97460;2018-11-30;21530;97415;ST PAUL
97441;2020-12-31;4280;97420;STE SUZANNE
97434;2017-12-31;12670;97415;ST PAUL
97460;2018-12-31;21560;97415;ST PAUL
97441;2021-01-31;4340;97420;STE SUZANNE
97434;2018-02-28;12820;97415;ST PAUL
97460;2019-05-31;21510;97415;ST PAUL
97441;2021-06-30;4260;97420;STE SUZANNE
97434;2018-03-31;12820;97415;ST PAUL
97460;2019-06-30;21480;97415;ST PAUL
97441;2021-07-31;4290;97420;STE SUZANNE
97434;2018-04-30;12780;97415;ST PAUL
97460;2019-09-30;21900;97415;ST PAUL
97441;2021-08-31;4340;97420;STE SUZANNE
97434;2018-08-31;12890;97415;ST PAUL
97460;2019-11-30;21410;97415;ST PAUL
97441;2021-11-30;4300;97420;STE SUZANNE
97434;2018-09-30;12880;97415;ST PAUL
97460;2020-01-31;21370;97415;ST PAUL
97441;2022-01-31;4290;97420;STE SUZANNE
97434;2018-10-31;12940;97415;ST PAUL
97460;2020-04-30;21290;97415;ST PAUL
97441;2022-02-28;4290;97420;STE SUZANNE
97434;2018-12-31;12820;97415;ST PAUL
97460;2020-06-30;21180;97415;ST PAUL
97441;2022-03-31;4300;97420;STE SUZANNE
97434;2019-01-31;13100;97415;ST PAUL
97460;2021-01-31;21580;97415;ST PAUL
97441;2022-08-31;4370;97420;STE SUZANNE
97434;2019-03-31;12920;97415;ST PAUL
97460;2021-05-31;21460;97415;ST PAUL
97441;2022-09-30;4360;97420;STE SUZANNE
97434;2019-04-30;12860;97415;ST PAUL
97460;2021-07-31;21510;97415;ST PAUL
97480;2016-07-31;9460;97412;ST JOSEPH
97434;2019-06-30;12750;97415;ST PAUL
97460;2021-08-31;21720;97415;ST PAUL
97480;2016-09-30;9620;97412;ST JOSEPH
97434;2019-10-31;12790;97415;ST PAUL
97460;2021-11-30;21380;97415;ST PAUL
97480;2016-11-30;9550;97412;ST JOSEPH
97434;2020-02-29;12500;97415;ST PAUL
97460;2021-12-31;21230;97415;ST PAUL
97480;2016-12-31;9560;97412;ST JOSEPH
97434;2020-10-31;12770;97415;ST PAUL
97460;2022-01-31;21240;97415;ST PAUL
97480;2017-01-31;9590;97412;ST JOSEPH
97434;2020-12-31;12740;97415;ST PAUL
97460;2022-02-28;21070;97415;ST PAUL
97480;2017-04-30;9430;97412;ST JOSEPH
97434;2021-06-30;12730;97415;ST PAUL
97460;2022-11-30;20710;97415;ST PAUL
97480;2017-05-31;9490;97412;ST JOSEPH
97434;2021-07-31;12640;97415;ST PAUL
97460;2022-12-31;20510;97415;ST PAUL
97480;2017-11-30;9620;97412;ST JOSEPH
97434;2021-08-31;12790;97415;ST PAUL
97442;2016-08-31;1460;97417;ST PHILIPPE
97480;2018-02-28;9650;97412;ST JOSEPH
97434;2021-09-30;12840;97415;ST PAUL
97442;2016-09-30;1480;97417;ST PHILIPPE
97480;2018-03-31;9610;97412;ST JOSEPH
97434;2022-02-28;12400;97415;ST PAUL
97442;2017-03-31;1440;97417;ST PHILIPPE
97480;2018-04-30;9640;97412;ST JOSEPH
97434;2022-04-30;12440;97415;ST PAUL
97442;2017-04-30;1440;97417;ST PHILIPPE
97480;2018-06-30;9670;97412;ST JOSEPH
97434;2022-08-31;12630;97415;ST PAUL
97442;2018-01-31;1480;97417;ST PHILIPPE
97480;2019-02-28;9720;97412;ST JOSEPH
97434;2022-09-30;12630;97415;ST PAUL
97442;2018-03-31;1470;97417;ST PHILIPPE
97480;2019-05-31;9570;97412;ST JOSEPH
97460;2016-07-31;21310;97415;ST PAUL
97442;2018-05-31;1460;97417;ST PHILIPPE
97480;2019-06-30;9540;97412;ST JOSEPH
97460;2016-09-30;21950;97415;ST PAUL
97442;2018-07-31;1460;97417;ST PHILIPPE
97480;2019-10-31;9450;97412;ST JOSEPH
97460;2017-01-31;22140;97415;ST PAUL
97442;2018-09-30;1450;97417;ST PHILIPPE
97480;2019-11-30;9270;97412;ST JOSEPH
97460;2017-08-31;21820;97415;ST PAUL
